"Date","Price","Open","High","Low","Vol.","Change %"
"23/07/2025","32.690","33.505","33.695","32.605","4.15K","-1.27%"
"22/07/2025","33.111","33.215","33.405","32.950","4.21K","-0.14%"
"21/07/2025","33.159","33.830","33.915","33.125","2.22K","-1.30%"
"18/07/2025","33.595","34.600","34.600","33.430","6.46K","-2.36%"
"17/07/2025","34.407","35.140","35.250","34.325","6.84K","-1.15%"
"16/07/2025","34.809","34.655","35.115","34.450","14.48K","1.06%"
"15/07/2025","34.445","35.105","35.145","34.205","19.50K","-2.85%"
"14/07/2025","35.454","35.540","36.320","35.090","12.25K","-0.30%"
"11/07/2025","35.561","34.930","35.615","34.755","10.93K","1.11%"
"10/07/2025","35.170","34.655","35.350","34.655","12.66K","2.52%"
"09/07/2025","34.304","34.320","34.900","34.275","8.65K","0.25%"
"08/07/2025","34.219","34.005","34.590","33.895","15.26K","1.78%"
"07/07/2025","33.621","33.210","34.045","32.985","7.42K","0.57%"
"04/07/2025","33.430","33.950","33.950","33.275","0.08K","-0.57%"
"03/07/2025","33.621","33.650","34.210","33.435","16.35K","0.09%"
"02/07/2025","33.591","33.980","34.425","33.210","17.11K","-0.30%"
"01/07/2025","33.693","33.100","33.845","32.885","9.59K","2.42%"
"30/06/2025","32.898","33.350","33.450","32.700","2.42K","-0.57%"
"27/06/2025","33.087","33.087","33.087","33.087","","-2.75%"
"26/06/2025","34.024","35.305","35.310","34.050","0.13K","-3.89%"
"25/06/2025","35.401","35.450","35.945","35.120","0.79K","-0.60%"
"24/06/2025","35.615","36.485","36.550","35.085","0.81K","-12.11%"
"23/06/2025","40.522","41.600","41.900","40.290","4.11K","-0.99%"
"20/06/2025","40.929","39.955","41.795","39.880","8.71K","-1.34%"
"19/06/2025","41.485","41.485","41.795","39.880","0.98K","7.22%"
"18/06/2025","38.693","39.550","40.365","38.655","3.56K","-1.57%"
"17/06/2025","39.309","38.180","39.700","38.175","11.95K","3.70%"
"16/06/2025","37.906","38.670","39.485","37.395","9.55K","0.03%"
"13/06/2025","37.894","37.595","38.460","37.105","9.59K","4.75%"
"12/06/2025","36.177","36.405","36.500","35.765","8.37K","0.74%"
"11/06/2025","35.913","35.165","35.900","35.060","4.91K","3.68%"
"10/06/2025","34.638","35.555","35.555","34.550","4.63K","-2.72%"
"09/06/2025","35.605","36.145","36.245","35.450","4.95K","-1.78%"
"06/06/2025","36.251","36.550","36.720","35.955","4.61K","-0.39%"
"05/06/2025","36.393","35.705","36.590","35.705","3.86K","2.08%"
"04/06/2025","35.650","36.005","36.365","35.415","6.57K","-0.55%"
"03/06/2025","35.848","35.265","36.000","34.970","3.62K","2.38%"
"02/06/2025","35.015","34.100","35.485","34.100","4.19K","2.30%"
"30/05/2025","34.228","34.955","35.355","33.855","0.78K","-2.65%"
"29/05/2025","35.158","35.158","35.158","35.158","","-4.17%"
"28/05/2025","36.687","36.800","36.990","36.800","0.08K","-0.86%"
"27/05/2025","37.006","36.975","36.975","36.685","0.38K","1.53%"
"23/05/2025","36.450","36.400","36.770","35.880","0.47K","0.26%"
"22/05/2025","36.356","36.540","37.040","36.110","6.32K","-0.72%"
"21/05/2025","36.621","37.250","37.775","36.430","6.86K","-0.97%"
"20/05/2025","36.979","35.260","37.140","35.235","5.47K","4.98%"
"19/05/2025","35.225","35.000","35.460","34.900","3.82K","0.20%"
"16/05/2025","35.156","35.350","35.935","34.785","3.81K","-0.39%"
"15/05/2025","35.294","35.345","35.495","34.450","8.95K","0.70%"
"14/05/2025","35.048","35.650","35.680","34.425","5.20K","-1.95%"
"13/05/2025","35.744","35.015","36.150","35.010","7.76K","1.00%"
"12/05/2025","35.390","34.555","36.305","34.545","13.45K","2.23%"
"09/05/2025","34.618","35.700","35.990","34.320","7.11K","-2.05%"
"08/05/2025","35.341","34.220","35.745","34.220","8.95K","2.35%"
"07/05/2025","34.531","34.615","35.515","34.115","16.62K","-0.61%"
"06/05/2025","34.743","33.340","35.085","33.235","26.23K","5.51%"
"05/05/2025","32.930","32.790","33.065","32.600","3.08K","-0.45%"
"02/05/2025","33.078","32.095","33.630","32.085","4.78K","2.89%"
"01/05/2025","32.149","32.030","32.280","31.650","3.62K","-0.52%"
"30/04/2025","32.317","31.875","32.755","31.655","0.23K","1.45%"
"29/04/2025","31.856","30.900","31.500","30.900","0.00K","-1.67%"
"28/04/2025","32.398","32.700","32.700","32.275","0.07K","-0.10%"
"25/04/2025","32.432","33.445","33.445","31.950","7.19K","-3.40%"
"24/04/2025","33.574","34.050","34.140","33.080","12.55K","-1.72%"
"23/04/2025","34.160","34.675","34.975","33.925","11.56K","-0.25%"
"22/04/2025","34.244","35.850","35.850","34.025","6.15K","-3.96%"
"21/04/2025","35.657","35.657","35.657","35.657","","0.00%"
"17/04/2025","35.657","35.600","35.835","35.305","0.28K","0.98%"
"16/04/2025","35.312","33.905","35.630","33.905","2.86K","2.63%"
"15/04/2025","34.407","34.500","35.525","34.170","2.06K","-0.27%"
"14/04/2025","34.499","34.275","34.785","33.710","1.59K","3.10%"
"11/04/2025","33.463","33.725","34.055","32.805","12.78K","0.51%"
"10/04/2025","33.293","34.650","35.140","33.150","8.93K","-1.11%"
"09/04/2025","33.666","34.600","35.395","33.305","13.98K","-7.08%"
"08/04/2025","36.231","36.335","36.960","35.580","7.61K","-2.08%"
"07/04/2025","37.000","34.645","38.560","33.595","0.82K","1.65%"
"04/04/2025","36.401","39.250","39.250","35.265","3.86K","-7.15%"
"03/04/2025","39.203","39.750","40.460","38.455","6.65K","-4.99%"
"02/04/2025","41.263","42.475","42.950","40.870","3.65K","-2.80%"
"01/04/2025","42.450","40.875","42.700","40.450","2.02K","4.38%"
"31/03/2025","40.667","40.825","41.385","39.885","0.23K","0.20%"
"28/03/2025","40.587","40.900","40.900","40.900","0.00K","-1.49%"
"27/03/2025","41.202","41.100","41.425","41.100","0.02K","0.81%"
"26/03/2025","40.870","40.555","41.255","40.555","0.26K","-1.65%"
"25/03/2025","41.555","42.050","42.630","41.160","0.18K","-2.79%"
"24/03/2025","42.748","42.405","42.690","41.240","0.32K","0.34%"
"21/03/2025","42.605","44.755","44.755","42.030","0.27K","-0.58%"
"20/03/2025","42.855","43.860","44.150","42.675","0.49K","-1.15%"
"19/03/2025","43.355","42.505","43.940","41.960","16.91K","6.38%"
"18/03/2025","40.755","41.450","41.625","39.850","7.89K","-1.20%"
"17/03/2025","41.248","41.395","42.005","40.350","6.51K","-2.46%"
"14/03/2025","42.290","41.300","42.895","41.145","12.03K","0.51%"
"13/03/2025","42.076","42.455","43.625","40.545","0.49K","-0.42%"
"12/03/2025","42.254","42.645","43.345","41.295","5.50K","-1.07%"
"11/03/2025","42.710","41.405","43.560","40.865","4.77K","3.58%"
"10/03/2025","41.232","40.070","41.370","39.650","3.64K","3.15%"
"07/03/2025","39.971","37.325","41.500","37.205","5.76K","4.53%"
"06/03/2025","38.240","41.875","42.000","37.705","3.48K","-7.87%"
"05/03/2025","41.508","43.485","43.905","40.850","10.11K","-4.50%"
"04/03/2025","43.464","45.315","45.315","42.510","0.98K","-3.87%"
"03/03/2025","45.213","46.950","47.230","44.530","0.34K","2.01%"
"28/02/2025","44.320","46.500","46.545","44.110","0.25K","-1.36%"
"27/02/2025","44.930","44.375","44.560","44.375","0.01K","8.69%"
"26/02/2025","41.336","41.336","41.336","41.336","0.16K","-6.67%"
"25/02/2025","44.291","45.435","45.835","43.750","0.10K","-6.05%"
"24/02/2025","47.144","46.135","47.260","45.110","0.19K","-0.11%"
"21/02/2025","47.195","47.650","48.225","46.105","0.33K","-0.63%"
"20/02/2025","47.494","47.350","48.600","47.065","0.68K","-1.60%"
"19/02/2025","48.264","50.000","50.395","47.120","1.92K","-1.93%"
"18/02/2025","49.215","50.005","50.895","46.840","3.04K","-2.90%"
"14/02/2025","50.685","50.050","51.600","48.390","1.02K","-1.36%"
"13/02/2025","51.383","55.660","55.660","50.565","10.41K","-7.69%"
"12/02/2025","55.661","56.200","57.000","54.230","47.19K","-3.64%"
"11/02/2025","57.766","57.130","59.335","56.375","37.59K","-0.47%"
"10/02/2025","58.039","57.300","58.695","57.255","41.14K","4.16%"
"07/02/2025","55.723","53.815","56.050","53.660","24.71K","2.24%"
"06/02/2025","54.502","53.910","55.465","53.550","37.21K","1.99%"
"05/02/2025","53.438","51.850","53.905","51.850","8.89K","2.67%"
"04/02/2025","52.048","52.905","53.395","51.390","1.70K","-3.25%"
"03/02/2025","53.794","54.200","54.620","52.850","0.54K","1.05%"
"31/01/2025","53.237","52.000","53.755","51.945","1.52K","2.92%"
"30/01/2025","51.726","52.020","52.540","51.530","0.01K","1.11%"
"29/01/2025","51.156","49.740","51.330","49.740","0.02K","6.08%"
"28/01/2025","48.224","48.200","48.615","48.050","0.15K","0.76%"
"27/01/2025","47.862","48.825","48.900","47.830","0.36K","-3.70%"
"24/01/2025","49.702","49.585","49.910","48.205","15.83K","1.18%"
"23/01/2025","49.123","48.830","50.300","48.600","17.68K","0.84%"
"22/01/2025","48.716","50.085","50.700","48.550","41.43K","-2.62%"
"21/01/2025","50.027","46.650","50.225","46.150","32.26K","6.70%"
"17/01/2025","46.887","46.000","47.405","45.765","24.92K","1.40%"
"16/01/2025","46.241","46.205","46.410","45.700","4.97K","-1.63%"
"15/01/2025","47.006","47.450","47.750","46.450","8.69K","0.13%"
"14/01/2025","46.947","48.530","48.605","46.605","12.63K","-2.72%"
"13/01/2025","48.261","46.650","48.570","46.650","31.50K","7.23%"
"10/01/2025","45.008","44.850","45.785","43.225","22.27K","0.05%"
"09/01/2025","44.987","45.095","45.480","43.895","10.51K","-1.26%"
"08/01/2025","45.559","47.995","47.995","45.140","6.24K","-4.03%"
"07/01/2025","47.474","46.750","47.860","45.985","4.68K","0.31%"
"06/01/2025","47.326","49.100","49.250","46.940","3.21K","-4.63%"
"03/01/2025","49.622","49.905","50.350","49.385","3.66K","-1.29%"
"02/01/2025","50.273","50.215","50.695","48.615","0.71K","2.83%"
"31/12/2024","48.889","48.350","50.530","48.225","0.38K","2.64%"
"30/12/2024","47.633","48.300","48.300","47.235","0.03K","-0.21%"
"27/12/2024","47.731","47.180","47.930","46.800","0.26K","4.37%"
"26/12/2024","45.731","45.731","45.731","45.731","","0.00%"
"24/12/2024","45.731","45.750","46.550","45.300","0.16K","0.41%"
"23/12/2024","45.545","44.335","45.835","43.800","1.15K","3.21%"
"20/12/2024","44.130","43.875","44.465","42.785","1.53K","2.44%"
"19/12/2024","43.078","41.475","43.615","39.835","1.83K","5.05%"
"18/12/2024","41.007","42.355","42.400","40.630","3.55K","-2.52%"
"17/12/2024","42.065","40.500","42.145","39.955","3.03K","4.44%"
"16/12/2024","40.277","40.185","40.585","38.955","11.20K","-2.28%"
"13/12/2024","41.215","42.540","43.245","41.010","22.34K","-3.71%"
"12/12/2024","42.804","44.400","44.450","42.495","17.35K","-4.23%"
"11/12/2024","44.694","45.250","45.960","44.400","17.84K","-1.88%"
"10/12/2024","45.552","44.550","45.845","44.450","7.64K","1.55%"
"09/12/2024","44.855","46.200","46.305","44.740","12.53K","-3.50%"
"06/12/2024","46.480","46.250","46.700","45.950","4.41K","-0.15%"
"05/12/2024","46.551","47.510","47.560","46.005","6.28K","-1.05%"
"04/12/2024","47.046","48.100","48.150","46.710","6.88K","-3.11%"
"03/12/2024","48.557","48.930","49.050","48.250","3.53K","-0.20%"
"02/12/2024","48.655","48.860","49.295","48.350","3.85K","1.77%"
"29/11/2024","47.811","47.480","47.950","46.235","0.59K","2.24%"
"27/11/2024","46.762","46.535","46.800","46.000","0.09K","-0.96%"
"26/11/2024","47.216","47.380","48.290","46.130","0.19K","-1.08%"
"25/11/2024","47.733","47.665","48.880","47.400","0.67K","1.52%"
"22/11/2024","47.018","49.050","49.240","46.775","10.60K","-2.66%"
"21/11/2024","48.303","47.120","48.725","47.120","11.92K","3.22%"
"20/11/2024","46.796","45.360","47.230","45.275","24.27K","2.47%"
"19/11/2024","45.668","46.655","47.315","45.600","15.99K","-2.63%"
"18/11/2024","46.900","45.480","47.125","45.385","9.48K","0.75%"
